asset,strategy_family,applicable,state,reason,required_evidence
US30,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
US30,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
US30,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
US30,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
US30,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
US30,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
US30,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
GER40,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GER40,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
GER40,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GER40,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GER40,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
GER40,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GER40,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
GER40,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
GER40,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
GER40,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
GER40,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
