target,rule_type,field1,dir1,threshold1,quantile1,field2,dir2,threshold2,quantile2,disc_excluded,disc_excluded_pct,disc_target_removed,disc_wins_removed,disc_losses_removed,disc_flats_removed,disc_selection_frozen_delta_usd,disc_winner_pnl_removed,disc_loss_pnl_removed,disc_target_precision,valid_excluded,valid_excluded_pct,valid_target_removed,valid_wins_removed,valid_losses_removed,valid_flats_removed,valid_selection_frozen_delta_usd,valid_winner_pnl_removed,valid_loss_pnl_removed,valid_target_precision,discovery_pass,repair_score
severe_mae_loss,1D,reliability_expected_r,le,0.07339858947124882,0.3,,,,,248,0.30133657351154314,12,76,57,115,-20.474130140214818,48.862741481285774,-28.388611341070956,0.04838709677419355,54,0.22784810126582278,1,14,15,25,-8.379162124856224,16.10133789628525,-7.7221757714290264,0.018518518518518517,False,-449.5
barely_developed_loss,1D,reliability_expected_r,ge,0.24513895111390224,0.8,,,,,165,0.20048602673147023,17,82,27,56,-37.574425142857095,50.731739428571615,-13.157314285714511,0.10303030303030303,38,0.16033755274261605,3,18,8,12,-29.946337464288515,33.50591603571708,-3.5595785714285646,0.07894736842105263,False,-453.75
severe_mae_loss,1D,stability,le,0.11245498270748465,0.3,,,,,249,0.3025516403402187,12,72,59,118,-18.270112450928504,48.08437797057072,-29.81426551964222,0.04819277108433735,59,0.2489451476793249,3,18,15,26,-10.930236660570664,18.76737100342828,-7.837134342857617,0.05084745762711865,False,-455.0
barely_developed_loss,1D,reliability_asset_strategy_mean_r,ge,0.41417781315300256,0.8,,,,,167,0.20291616038882138,18,83,30,54,-40.741037571429544,55.999237571429255,-15.258199999999706,0.10778443113772455,38,0.16033755274261605,3,18,8,12,-29.946337464288515,33.50591603571708,-3.5595785714285646,0.07894736842105263,False,-455.25
severe_mae_loss,1D,rank_score,le,0.3845722601648459,0.3,,,,,249,0.3025516403402187,11,78,53,118,-19.523336458074176,45.91762272771749,-26.394286269643317,0.04417670682730924,67,0.28270042194092826,5,17,21,29,-9.316611714143397,20.04547891414434,-10.728867200000941,0.07462686567164178,False,-464.0
severe_mae_loss,1D,reliability_asset_strategy_mean_r,ge,0.41417781315300256,0.8,,,,,167,0.20291616038882138,11,83,30,54,-40.741037571429544,55.999237571429255,-15.258199999999706,0.0658682634730539,38,0.16033755274261605,5,18,8,12,-29.946337464288515,33.50591603571708,-3.5595785714285646,0.13157894736842105,False,-464.25
severe_mae_loss,1D,reliability_expected_r,ge,0.24513895111390224,0.8,,,,,165,0.20048602673147023,9,82,27,56,-37.574425142857095,50.731739428571615,-13.157314285714511,0.05454545454545454,38,0.16033755274261605,5,18,8,12,-29.946337464288515,33.50591603571708,-3.5595785714285646,0.13157894736842105,False,-465.75
barely_developed_loss,1D,rank_score,ge,0.5719960562151344,0.8,,,,,165,0.20048602673147023,17,85,28,52,-38.237127164286264,50.48499680714279,-12.247869642856525,0.10303030303030303,36,0.1518987341772152,3,19,8,9,-33.255594607145355,36.815173178573914,-3.5595785714285646,0.08333333333333333,False,-473.25
severe_mae_loss,1D,rank_score,ge,0.5719960562151344,0.8,,,,,165,0.20048602673147023,10,85,28,52,-38.237127164286264,50.48499680714279,-12.247869642856525,0.06060606060606061,36,0.1518987341772152,5,19,8,9,-33.255594607145355,36.815173178573914,-3.5595785714285646,0.1388888888888889,False,-482.25
barely_developed_loss,1D,reliability_strategy_win,le,0.2731983805668016,0.1,,,,,122,0.14823815309842042,10,37,25,60,-26.839834760146775,40.452661072288954,-13.612826312142177,0.08196721311475409,131,0.5527426160337553,15,49,33,49,-70.93156876414848,93.05949024986428,-22.127921485715795,0.11450381679389313,False,-483.25
